carrier_name,carrier_code
Endeavor Air Inc.,9E
American Airlines Inc.,AA
Alaska Airlines Inc.,AS
JetBlue Airways,B6
Delta Air Lines Inc.,DL
Frontier Airlines Inc.,F9
Allegiant Air,G4
Hawaiian Airlines Inc.,HA
Envoy Air,MQ
Spirit Air Lines,NK
PSA Airlines Inc.,OH
SkyWest Airlines Inc.,OO
Horizon Air,QX
United Air Lines Inc.,UA
Southwest Airlines Co.,WN
Mesa Airlines Inc.,YV
Republic Airline,YX
ExpressJet Airlines LLC,EV
ExpressJet Airlines Inc.,EV
Virgin America,VX
US Airways Inc.,US
AirTran Airways Corporation,FL
American Eagle Airlines Inc.,MQ
Pinnacle Airlines Inc.,9E
Atlantic Southeast Airlines,EV
ExpressJet Airlines Inc.,XE
Continental Air Lines Inc.,CO
Comair Inc.,OH
Northwest Airlines Inc.,NW
Aloha Airlines Inc.,AQ
ATA Airlines d/b/a ATA,TZ
ExpressJet Airlines Inc.,RU
Independence Air,DH
America West Airlines Inc.,HP
Atlantic Coast Airlines,DH
